ens_gene,target_id
LOC111244368,XM_022791801.1
LOC111243544,XM_022789291.1
LOC111243544,XM_022789290.1
LOC111243544,XM_022789289.1
LOC111243544,XM_022789288.1
LOC111243544,XM_022789293.1
LOC111243543,XM_022789287.1
LOC111255564,XM_022817650.1
LOC111255562,XM_022817649.1
LOC111255562,XM_022817647.1
LOC111255562,XM_022817645.1
LOC111255562,XM_022817646.1
LOC111255562,XM_022817648.1
LOC111243233,XM_022788484.1
LOC111243233,XM_022788453.1
LOC111243233,XM_022788469.1
LOC111243233,XM_022788461.1
LOC111243233,XM_022788474.1
LOC111255556,XM_022817636.1
LOC111255459,XM_022817445.1
LOC111255459,XM_022817480.1
LOC111255459,XM_022817461.1
LOC111255459,XM_022817451.1
LOC111255459,XM_022817470.1
LOC111255459,XM_022817490.1
LOC111255487,XM_022817549.1
LOC111255487,XM_022817504.1
LOC111255487,XM_022817524.1
LOC111255487,XM_022817513.1
LOC111255487,XM_022817544.1
LOC111255487,XM_022817539.1
LOC111255487,XM_022817530.1
LOC111255515,XM_022817625.1
LOC111255515,XM_022817596.1
LOC111255515,XM_022817601.1
LOC111255515,XM_022817610.1
LOC111255515,XM_022817579.1
LOC111255515,XM_022817569.1
LOC111255515,XM_022817588.1
LOC111255515,XM_022817618.1
LOC111255515,XM_022817560.1
LOC111253187,XM_022812263.1
LOC111242869,XM_022787787.1
LOC111242869,XM_022787786.1
LOC111242869,XM_022787785.1
LOC111242869,XM_022787784.1
LOC111243521,XM_022789220.1
LOC111243519,XM_022789216.1
LOC111243520,XM_022789217.1
LOC111243520,XM_022789218.1
LOC111248629,XM_022801338.1
LOC111248629,XM_022801327.1
LOC111248629,XM_022801345.1
LOC111248629,XM_022801318.1
LOC111248629,XM_022801292.1
LOC111248629,XM_022801311.1
LOC111248629,XM_022801355.1
LOC111248629,XM_022801302.1
LOC111248629,XM_022801364.1
LOC111255321,XM_022817184.1
LOC111255321,XM_022817183.1
LOC111255321,XM_022817182.1
LOC111245883,XM_022794835.1
LOC111245883,XM_022794845.1
LOC111245883,XM_022794825.1
LOC111245883,XM_022794890.1
LOC111245883,XM_022794854.1
LOC111245883,XM_022794863.1
LOC111245883,XM_022794873.1
LOC111245883,XM_022794882.1
LOC111245883,XM_022794901.1
LOC111251662,XM_022808443.1
LOC111251665,XM_022808469.1
LOC111251665,XM_022808479.1
LOC111251665,XM_022808458.1
LOC111243144,XM_022788266.1
LOC111250889,XM_022806842.1
LOC111250889,XM_022806825.1
LOC111250889,XM_022806832.1
LOC111250953,XM_022806985.1
LOC111250948,XM_022806974.1
LOC111250914,XM_022806882.1
LOC111250908,XM_022806868.1
LOC111250934,XM_022806939.1
LOC111250938,XM_022806948.1
LOC111250904,XM_022806855.1
LOC111250926,XM_022806927.1
LOC111250957,XM_022806998.1
LOC111250943,XM_022806961.1
LOC111250878,XM_022806818.1
LOC111250878,XM_022806797.1
LOC111250878,XM_022806807.1
LOC111250918,XM_022806906.1
LOC111250918,XM_022806914.1
LOC111250918,XM_022806895.1
LOC111249734,XM_022804026.1
LOC111249734,XM_022804010.1
LOC111249734,XM_022804001.1
LOC111249734,XM_022804020.1
LOC111249734,XM_022804032.1
LOC111255559,XM_022817641.1
LOC111255559,XM_022817640.1
LOC111255559,XM_022817642.1
LOC111255558,XM_022817637.1
LOC111255558,XM_022817638.1
LOC111255558,XM_022817639.1
LOC111255557,XM_022817634.1
LOC111255557,XM_022817635.1
LOC111255557,XM_022817633.1
LOC111255557,XM_022817632.1
LOC111255555,XM_022817630.1
LOC111255555,XM_022817631.1
LOC111255560,XM_022817643.1
LOC111243088,XM_022788152.1
LOC111243089,XM_022788153.1
LOC111249388,XM_022803207.1
LOC111249388,XM_022803199.1
LOC111242853,XM_022787747.1
LOC111247672,XM_022799452.1
LOC111247672,XM_022799700.1
LOC111247672,XM_022799201.1
LOC111247672,XM_022798950.1
LOC111247672,XM_022799103.1
LOC111247672,XM_022799540.1
LOC111247672,XM_022799366.1
LOC111247672,XM_022799279.1
LOC111247672,XM_022799868.1
LOC111247672,XM_022799019.1
LOC111247672,XM_022799622.1
LOC111247672,XM_022799783.1
LOC111248140,XM_022799996.1
LOC111248140,XM_022800157.1
LOC111248140,XM_022800251.1
LOC111248140,XM_022800076.1
LOC111253428,XM_022812796.1
LOC111253428,XM_022812788.1
LOC111251322,XM_022807795.1
LOC111255488,XM_022817501.1
LOC111243151,XM_022788275.1
LOC111244559,XM_022791789.1
LOC111255294,XM_022817097.1
LOC111242886,XM_022787809.1
LOC111244069,XM_022790667.1
LOC111244069,XM_022790686.1
LOC111244069,XM_022790677.1
LOC111244084,XM_022790699.1
LOC111244089,XM_022790712.1
LOC111255489,XM_022817502.1
LOC111255489,XM_022817505.1
LOC111255489,XM_022817503.1
LOC111252231,XM_022809722.1
LOC111252233,XM_022809737.1
LOC111247870,XM_022799394.1
LOC111247870,XM_022799367.1
LOC111247870,XM_022799386.1
LOC111247870,XM_022799376.1
LOC111247887,XM_022799404.1
LOC111247887,XM_022799413.1
LOC111247895,XM_022799435.1
LOC111247895,XM_022799426.1
LOC111252329,XM_022810047.1
LOC111252329,XM_022810037.1
LOC111252329,XM_022810028.1
LOC111252329,XM_022810010.1
LOC111252329,XM_022810020.1
LOC111252329,XM_022810064.1
LOC111252329,XM_022810058.1
LOC111251443,XM_022808017.1
LOC111255535,XM_022817600.1
LOC111255535,XM_022817599.1
LOC111255535,XM_022817597.1
LOC111255535,XM_022817598.1
LOC111255535,XM_022817602.1
LOC111255347,XM_022817233.1
LOC111249150,XM_022802649.1
LOC111249150,XM_022802641.1
LOC111249150,XM_022802658.1
LOC111249150,XM_022802666.1
LOC111249130,XM_022802618.1
LOC111249130,XM_022802582.1
LOC111249130,XM_022802599.1
LOC111249130,XM_022802628.1
LOC111249130,XM_022802562.1
LOC111249130,XM_022802607.1
LOC111249130,XM_022802572.1
LOC111249130,XM_022802591.1
LOC111253544,XM_022813101.1
LOC111253544,XM_022813091.1
LOC111253544,XM_022813108.1
LOC111253544,XM_022813119.1
LOC111251247,XM_022807665.1
LOC111251247,XM_022807671.1
LOC111251247,XM_022807705.1
LOC111251247,XM_022807686.1
LOC111251247,XM_022807696.1
LOC111251247,XM_022807678.1
LOC111251247,XM_022807715.1
LOC111242899,XM_022787833.1
LOC111243444,XM_022789011.1
LOC111243444,XM_022789012.1
LOC111243443,XM_022789010.1
LOC111243443,XM_022789008.1
LOC111243443,XM_022789009.1
LOC111255292,XM_022817095.1
LOC111255292,XM_022817094.1
LOC111255292,XM_022817096.1
LOC111255291,XM_022817093.1
LOC111242964,XM_022787936.1
LOC111243084,XM_022788149.1
LOC111243084,XM_022788148.1
LOC111255428,XM_022817395.1
LOC111248562,XM_022801069.1
LOC111254809,XM_022816057.1
LOC111255412,XM_022787850.1
LOC111255412,XM_022788064.1
LOC111255412,XM_022787768.1
LOC111255412,XM_022817409.1
LOC111255412,XM_022817644.1
LOC111255412,XM_022817489.1
LOC111255412,XM_022787992.1
LOC111255412,XM_022817726.1
LOC111255412,XM_022817565.1
LOC111255412,XM_022787599.1
LOC111255412,XM_022787684.1
LOC111255412,XM_022787918.1
LOC111255412,XM_022788147.1
LOC111255412,XM_022788304.1
LOC111255412,XM_022788226.1
LOC111247231,XM_022797910.1
LOC111247231,XM_022797920.1
LOC111247242,XM_022797925.1
LOC111243391,XM_022788881.1
LOC111243391,XM_022788883.1
LOC111243391,XM_022788876.1
LOC111243391,XM_022788882.1
LOC111243391,XM_022788880.1
LOC111243391,XM_022788877.1
LOC111243391,XM_022788878.1
LOC111243391,XM_022788885.1
LOC111243391,XM_022788886.1
LOC111243391,XM_022788875.1
LOC111243391,XM_022788884.1
LOC111248674,XM_022801408.1
LOC111248674,XM_022801417.1
LOC111248674,XM_022801427.1
LOC111248674,XM_022801437.1
LOC111248674,XM_022801444.1
LOC111248725,XM_022801580.1
LOC111248725,XM_022801569.1
LOC111248725,XM_022801561.1
LOC111248731,XM_022801595.1
LOC111248737,XM_022801608.1
LOC111248772,XM_022801688.1
LOC111248772,XM_022801697.1
LOC111248692,XM_022801478.1
LOC111248692,XM_022801457.1
LOC111248692,XM_022801498.1
LOC111248692,XM_022801487.1
LOC111248692,XM_022801536.1
LOC111248692,XM_022801527.1
LOC111248692,XM_022801514.1
LOC111248692,XM_022801546.1
LOC111248692,XM_022801505.1
LOC111248692,XM_022801467.1
LOC111248692,XM_022801519.1
LOC111248746,XM_022801666.1
LOC111248746,XM_022801629.1
LOC111248746,XM_022801621.1
LOC111248746,XM_022801646.1
LOC111248746,XM_022801637.1
LOC111248746,XM_022801656.1
LOC111248746,XM_022801676.1
LOC111248875,XM_022801931.1
LOC111242917,XM_022787861.1
LOC111254531,XM_022815481.1
LOC111254531,XM_022815471.1
LOC111249712,XM_022803948.1
LOC111243551,XM_022789311.1
LOC111243551,XM_022789312.1
LOC111243552,XM_022789313.1
LOC111254374,XM_022815129.1
LOC111252487,XM_022810481.1
LOC111255295,XM_022817098.1
LOC111255295,XM_022817100.1
LOC111255295,XM_022817101.1
LOC111255295,XM_022817103.1
LOC111255295,XM_022817102.1
LOC111253223,XM_022812343.1
LOC111246329,XM_022795777.1
LOC111246329,XM_022795768.1
LOC111246329,XM_022795787.1
